"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HDFCBANK","EQ","23-Jun-2017","       1698.00","       1702.00","       1702.75","       1675.20","       1681.10","       1678.65","       1684.39","    1304367","          2197062163.50","      40032","     835308","         64.04"
"HDFCBANK","IL","23-Jun-2017","       1710.00","       1698.50","       1698.50","       1692.00","-","       1692.00","       1696.92","     301000","           510772000.00","          8","     301000","        100.00"
"HDFCBANK","EQ","27-Jun-2017","       1678.65","       1689.00","       1695.00","       1656.25","       1667.55","       1667.65","       1673.41","    1500108","          2510290432.50","      41978","     966813","         64.45"
"HDFCBANK","IL","27-Jun-2017","       1692.00","       1687.00","       1705.00","       1687.00","-","       1695.00","       1695.70","    4645234","          7876911145.25","        152","    4645234","        100.00"
"HDFCBANK","EQ","28-Jun-2017","       1667.65","       1665.00","       1675.00","       1657.80","       1666.50","       1666.45","       1666.08","    1112259","          1853114829.75","      33276","     759351","         68.27"
"HDFCBANK","IL","28-Jun-2017","       1695.00","       1670.00","       1670.00","       1670.00","-","       1670.00","       1670.00","      43000","            71810000.00","          1","      43000","        100.00"
"HDFCBANK","EQ","29-Jun-2017","       1666.45","       1667.00","       1681.90","       1651.10","       1655.00","       1663.05","       1666.21","    2296927","          3827159036.60","      41505","    1515335","         65.97"
"HDFCBANK","EQ","30-Jun-2017","       1663.05","       1653.80","       1660.00","       1643.00","       1654.85","       1652.05","       1654.33","    1082608","          1790989876.00","      20154","     686217","         63.39"
"HDFCBANK","EQ","03-Jul-2017","       1652.05","       1652.60","       1667.50","       1647.25","       1660.00","       1658.60","       1658.07","     876083","          1452603241.70","      29692","     555332","         63.39"
"HDFCBANK","EQ","04-Jul-2017","       1658.60","       1660.25","       1666.70","       1652.00","       1653.00","       1653.35","       1656.45","     941520","          1559578817.20","      29651","     629966","         66.91"
"HDFCBANK","EQ","05-Jul-2017","       1653.35","       1653.10","       1659.50","       1645.00","       1647.15","       1648.75","       1651.02","    1003550","          1656877513.35","      33969","     745305","         74.27"
"HDFCBANK","IL","05-Jul-2017","       1670.00","       1653.35","       1653.35","       1653.35","-","       1653.35","       1653.35","      36705","            60686211.75","          1","      36705","        100.00"
"HDFCBANK","EQ","06-Jul-2017","       1648.75","       1652.55","       1663.00","       1651.35","       1658.95","       1658.15","       1658.74","    1142919","          1895807617.70","      36276","     826102","         72.28"
"HDFCBANK","EQ","07-Jul-2017","       1658.15","       1660.85","       1669.60","       1658.00","       1665.00","       1667.20","       1663.38","    1379349","          2294376290.90","      34523","     989181","         71.71"
"HDFCBANK","EQ","10-Jul-2017","       1667.20","       1670.70","       1748.00","       1661.05","       1674.00","       1676.35","       1674.39","     334769","           560535368.70","       6377","     189620","         56.64"
"HDFCBANK","EQ","11-Jul-2017","       1676.35","       1677.55","       1690.80","       1667.10","       1676.15","       1680.40","       1681.60","    1102570","          1854082214.50","      46609","     683669","         62.01"
"HDFCBANK","IL","11-Jul-2017","       1653.35","       1700.00","       1732.00","       1700.00","-","       1726.25","       1725.18","    1409409","          2431490800.00","         81","    1409409","        100.00"
"HDFCBANK","EQ","12-Jul-2017","       1680.40","       1680.00","       1685.00","       1658.55","       1680.55","       1681.25","       1675.45","    1434723","          2403800089.65","      39173","     807682","         56.30"
"HDFCBANK","IL","12-Jul-2017","       1726.25","       1705.00","       1705.00","       1700.00","-","       1700.00","       1700.21","     208956","           355269980.00","         15","     208956","        100.00"
"HDFCBANK","EQ","13-Jul-2017","       1681.25","       1688.00","       1693.30","       1679.65","       1681.05","       1683.55","       1687.47","    1120251","          1890389586.05","      38013","     794284","         70.90"
"HDFCBANK","IL","13-Jul-2017","       1700.00","       1721.00","       1721.00","       1711.00","-","       1711.00","       1719.08","     885000","          1521385000.00","         30","     235000","         26.55"
"HDFCBANK","EQ","14-Jul-2017","       1683.55","       1683.90","       1686.05","       1672.00","       1682.00","       1679.95","       1677.65","     610813","          1024730172.40","      19545","     245408","         40.18"
"HDFCBANK","IL","14-Jul-2017","       1711.00","       1711.00","       1715.00","       1711.00","-","       1712.50","       1712.90","     252790","           433002875.00","         28","          0","          0.00"
"HDFCBANK","EQ","17-Jul-2017","       1679.95","       1682.55","       1687.65","       1677.00","       1685.00","       1682.35","       1681.96","     599835","          1008899560.35","      15125","     382911","         63.84"
"HDFCBANK","EQ","18-Jul-2017","       1682.35","       1679.70","       1687.85","       1677.35","       1685.00","       1683.55","       1683.26","     580547","           977209674.65","      20192","     275144","         47.39"
"HDFCBANK","EQ","19-Jul-2017","       1683.55","       1685.00","       1696.20","       1681.85","       1691.40","       1692.30","       1691.79","     996811","          1686392425.50","      23454","     496495","         49.81"
"HDFCBANK","EQ","20-Jul-2017","       1692.30","       1693.90","       1715.00","       1688.15","       1712.00","       1710.90","       1701.51","     924619","          1573246423.25","      29260","     475755","         51.45"
"HDFCBANK","EQ","21-Jul-2017","       1710.90","       1714.10","       1715.25","       1700.00","       1703.25","       1703.05","       1708.42","     968377","          1654392958.35","      21353","     438841","         45.32"
"HDFCBANK","IL","21-Jul-2017","       1712.50","       1751.00","       1751.00","       1743.50","-","       1743.50","       1751.00","     118728","           207892713.00","          4","     118728","        100.00"
"HDFCBANK","EQ","24-Jul-2017","       1703.05","       1710.00","       1740.00","       1695.00","       1736.20","       1735.10","       1722.12","    4919544","          8472024384.40","     120635","    1776089","         36.10"
